SiteName,SiteNumber,TimeStamp,HH,VH,HV,VV,Longitude,Latitude,ps_Longitude,ps_Latitude,xUTM,yUTM,zoneUTM,MagneticDeclination,Heading2MN,Heading2TN,PolarizationCorrection,AntennaCorrection,SurfaceElevationREMA,BedElevationBEDMACHINE,BedElevationRadar,BedDepthRadar
p7,1,07-Dec-2019 14:54:31,1,1,1,1,21.840746,-70.481317,796390.908900594,1987020.02827015,531350.203616282,2180232.40414117,34 D,NaN,NaN,110,90,200,344.86,-180.17,-174.34,519.2
p6,2,07-Dec-2019 14:13:00,1,1,1,1,21.848079,-70.485057,796489.689780109,1986530.19909951,531617.80615819,2179811.54361622,34 D,NaN,NaN,95,90,185,350.65,-177.92,-179.07,529.72
p5,3,07-Dec-2019 11:31:00,1,1,1,1,21.85548,-70.488804,796590.425913824,1986038.71003401,531887.831086285,2179389.83490202,34 D,NaN,NaN,120,90,210,355.85,-177.02,-178.07,533.92
p4,4,07-Dec-2019 10:50:40,1,1,1,1,21.862929,-70.492543,796693.046333553,1985547.39446124,532159.555128422,2178968.96039665,34 D,NaN,NaN,82,90,172,361.04,-176.51,-181.08,542.12
p3,5,07-Dec-2019 10:10:53,1,1,1,1,21.868892,-70.495532,796775.284816979,1985154.52526097,532377.005472264,2178632.48039488,34 D,NaN,NaN,110,90,200,364.55,-177.38,-183.78,548.33
p2,6,07-Dec-2019 09:28:18,1,1,1,1,21.873418,-70.49778,796838.518237463,1984858.48240777,532542.042569794,2178379.38081797,34 D,NaN,NaN,135,90,225,366.34,-177.38,-183.25,549.59
p1,7,07-Dec-2019 08:41:54,1,1,1,1,21.876392,-70.499286,796878.844643619,1984660.96498962,532650.420344763,2178209.84652997,34 D,NaN,NaN,125,90,215,367.58,-179.66,-182.11,549.69
p0,8,04-Dec-2019 17:16:25,1,1,1,1,21.877836,-70.500037,796897.594937464,1984563.01240883,532703.00442679,2178125.32358392,34 D,NaN,NaN,120,90,210,367.39,-179.66,-185.25,552.64
p8,9,07-Dec-2019 15:51:51,1,1,1,1,21.879252,-70.500761,796916.495289224,1984468.24925785,532754.585052338,2178043.82535603,34 D,NaN,NaN,125,90,215,367.07,-179.66,-184.52,551.59
p9,10,07-Dec-2019 16:56:17,1,1,1,1,21.88215,-70.502289,796953.237904976,1984269.51162573,532860.063825743,2177871.86858395,34 D,NaN,NaN,120,90,210,366.65,-179.66,-185.46,552.11
p10,11,07-Dec-2019 17:34:21,1,1,1,1,21.886446,-70.504571,797006.969014798,1983973.15525679,533016.368200478,2177615.06694771,34 D,NaN,NaN,120,90,210,364.85,-186,-189.16,554.01
p11,12,07-Dec-2019 18:12:36,1,1,1,1,21.892116,-70.507577,797078.068883159,1983582.62892173,533222.617991221,2177276.76831408,34 D,NaN,NaN,115,90,205,361.81,-194.06,-195.98,557.79
p12,13,08-Dec-2019 15:19:49,1,1,1,1,21.899321,-70.511371,797169.393333725,1983089.06367848,533484.656193903,2176849.73333807,34 D,NaN,NaN,125,90,215,357.47,-202.03,-209.26,566.73
p13,14,08-Dec-2019 15:59:32,1,1,1,1,21.9065,-70.515148,797260.416962997,1982597.63516643,533745.653977812,2176424.57784275,34 D,NaN,NaN,115,90,205,352.97,-210.13,-209.03,562
p14,15,08-Dec-2019 16:38:01,1,1,1,1,21.913485,-70.518818,797349.081994237,1982120.01008703,533999.510970734,2176011.43232591,34 D,NaN,NaN,120,90,210,348.22,-218.42,-214.83,563.05
