depth_m,lambda3,lambda2,lambda1
15.65,0.3972,0.33,0.2728
50.22,0.4826,0.284,0.2334
54.69,0.473271429,0.281,0.245714286
59.64,0.47655,0.27205,0.2514
64.02,0.51175,0.30595,0.1823
69.51,0.4942,0.289,0.2169
75.99,0.5209,0.2534,0.2258
80.33,0.52935,0.27925,0.1914
83.28,0.5006,0.25265,0.24675
84.385,0.517222222,0.265044444,0.217711111
89.78,0.4746,0.2843,0.2411
97.12,0.3965,0.3291,0.2745
99.76,0.4978,0.2759,0.2263
105.01,0.4951,0.2776,0.2273
110.03,0.5064,0.2819,0.2116
115.53,0.4798,0.2761,0.2442
120.11,0.514925,0.27285,0.212225
125.12,0.5225,0.2719,0.205633333
130.49,0.5518,0.2494,0.1989
135.78,0.57205,0.247,0.1809
140.46,0.6209,0.232266667,0.146866667
145.13,0.60635,0.23065,0.16305
150.18,0.62075,0.23325,0.146
155.02,0.65205,0.2228,0.1252
160.33,0.559066667,0.248333333,0.1926
165.47,0.6254,0.2566,0.118
170.42,0.5728,0.2785,0.1487
175.95,0.6258,0.2317,0.1425
180.58,0.6441,0.230933333,0.124966667
185.56,0.61165,0.21945,0.1689
190.03,0.57525,0.2626,0.1621
195.47,0.6497,0.22315,0.12715
200.97,0.60465,0.25555,0.1398
205.18,0.625733333,0.2106,0.163666667
210.15,0.6108,0.2395,0.1497
215.75,0.6569,0.2149,0.1282
220.09,0.686,0.1923,0.1217
225.41,0.6784,0.197,0.1246
230.05,0.6822,0.1947,0.1232
235.37,0.72865,0.2022,0.06915
240.74,0.6989,0.1768,0.1243
245.32,0.7033,0.1912,0.1055
250.59,0.6631,0.237266667,0.0996
255.17,0.668433333,0.222066667,0.109433333
260.39,0.66565,0.2062,0.12815
