X,Y,e_max,hsrX,hsrY,velX,velY,vMag,X2Vel,Y2Vel,AzimuthVel,FD_CCW_TN,X2SR,Y2SR,AzimuthSR,SD_CCW_TN
796390.9089,1987020.028,0.000202866,0.973564328,-0.228389283,-0.157391019,0.493208442,0.517728888,796390.7515,1987020.52,342.301,41,796391.8824,1987019.799,103,280
796391.9089,1987015.07,0.000202797,0.973560151,-0.22840946,-0.156979945,0.492294536,0.516731673,796391.7519,1987015.561,342.314,41,796392.8824,1987014.841,103,280
796392.9089,1987010.111,0.000202728,0.973555834,-0.228430349,-0.156568912,0.491380453,0.515734284,796392.7523,1987010.602,342.327,41,796393.8824,1987009.882,103,280
796393.9089,1987005.152,0.000202658,0.973551372,-0.228451969,-0.156157967,0.490466357,0.514736891,796393.7527,1987005.642,342.339,41,796394.8824,1987004.923,103,280
796394.9089,1987000.193,0.000202588,0.973546766,-0.22847432,-0.15574711,0.489552248,0.513739493,796394.7531,1987000.682,342.352,41,796395.8824,1986999.964,103,280
796395.9089,1986995.235,0.00020251,0.973536899,-0.228518664,-0.155331711,0.488607521,0.512711558,796395.7535,1986995.723,342.364,41,796396.8824,1986995.006,103,280
796396.9089,1986990.276,0.000202431,0.973526698,-0.228564513,-0.154916185,0.48766137,0.511682207,796396.7539,1986990.763,342.376,41,796397.8824,1986990.047,103,280
796397.9089,1986985.317,0.000202353,0.973516366,-0.22861102,-0.154500769,0.48671521,0.510652859,796397.7543,1986985.803,342.389,41,796398.8824,1986985.088,103,280
796398.9089,1986980.358,0.000202274,0.973505904,-0.228658183,-0.154085462,0.485769043,0.509623514,796398.7548,1986980.843,342.401,41,796399.8824,1986980.129,103,280
796399.9089,1986975.4,0.000202196,0.973495309,-0.228706016,-0.153670312,0.484823037,0.508594348,796399.7552,1986975.884,342.413,41,796400.8823,1986975.171,103,280
796400.9089,1986970.441,0.000202103,0.973482174,-0.228759228,-0.153255577,0.483874915,0.507566929,796400.7556,1986970.924,342.426,41,796401.8823,1986970.212,103,280
796401.9089,1986965.482,0.000202008,0.973468661,-0.228813541,-0.152840916,0.482926266,0.50653938,796401.756,1986965.963,342.438,41,796402.8823,1986965.253,103,280
796402.9089,1986960.523,0.000201912,0.973455008,-0.22886848,-0.152426289,0.481977269,0.505511493,796402.7564,1986961.004,342.45,41,796403.8823,1986960.294,103,280
796403.9089,1986955.565,0.000201816,0.973441214,-0.228924059,-0.152011744,0.481028094,0.504483445,796403.7568,1986956.046,342.463,41,796404.8823,1986955.336,103,280
796404.9089,1986950.606,0.000201719,0.973427285,-0.22898025,-0.151597187,0.4800784,0.503454882,796404.7573,1986951.085,342.475,41,796405.8823,1986950.377,103,280
796405.9089,1986945.647,0.000201621,0.973413217,-0.229037068,-0.151182664,0.479128358,0.502425982,796405.7577,1986946.125,342.488,41,796406.8823,1986945.417,103,280
796406.9089,1986940.688,0.000201522,0.97339901,-0.229094512,-0.150768176,0.478177967,0.501396745,796406.7581,1986941.166,342.5,41,796407.8822,1986940.458,103,280
796407.9089,1986935.73,0.000201423,0.973384662,-0.229152595,-0.15035377,0.477227398,0.500367345,796407.7585,1986936.206,342.513,40,796408.8822,1986935.5,103,280
796408.9089,1986930.771,0.000201323,0.973370178,-0.229211291,-0.149939351,0.476276311,0.499337432,796408.7589,1986931.247,342.525,40,796409.8822,1986930.541,103,280
796409.9089,1986925.812,0.000201223,0.973355556,-0.229270613,-0.149524967,0.475324876,0.498307181,796409.7593,1986926.287,342.538,40,796410.8822,1986925.582,103,280
796410.9089,1986920.853,0.000201121,0.973340795,-0.229330562,-0.149110618,0.474373092,0.497276592,796410.7597,1986921.327,342.55,40,796411.8822,1986920.623,103,280
796411.9089,1986915.895,0.000201019,0.973325893,-0.229391149,-0.148696351,0.47342113,0.496245841,796411.7602,1986916.368,342.563,40,796412.8822,1986915.665,103,280
796412.9089,1986910.936,0.000200917,0.973310855,-0.229452349,-0.148282071,0.47246865,0.495214577,796412.7606,1986911.408,342.576,40,796413.8822,1986910.706,103,280
796413.9089,1986905.977,0.000200813,0.973295679,-0.229514176,-0.147867826,0.471515821,0.494182975,796413.761,1986906.448,342.589,40,796414.8821,1986905.747,103,280
796414.9089,1986901.018,0.000200709,0.973280364,-0.229576629,-0.147453615,0.470562644,0.493151035,796414.7614,1986901.487,342.601,40,796415.8821,1986900.788,103,280
796415.9089,1986896.06,0.000200573,0.973261494,-0.229654008,-0.14702624,0.469552653,0.492060964,796415.7618,1986896.529,342.614,40,796416.8821,1986895.83,103,280
796416.9089,1986891.101,0.000200427,0.973241616,-0.22973564,-0.146595581,0.468527879,0.490955793,796416.7622,1986891.568,342.626,40,796417.8821,1986890.871,103,280
796417.9089,1986886.142,0.000200281,0.97322161,-0.229817837,-0.146165129,0.467503182,0.489850738,796417.7627,1986886.608,342.638,40,796418.8821,1986885.912,103,280
796418.9089,1986881.183,0.000200133,0.973201478,-0.229900597,-0.145734883,0.466478564,0.488745799,796418.7631,1986881.649,342.65,40,796419.8821,1986880.953,103,280
796419.9089,1986876.225,0.000199985,0.973181216,-0.22998393,-0.145304894,0.465454209,0.487641167,796419.7635,1986876.689,342.663,40,796420.882,1986875.995,103,280
